year,month,day,dow,doy,quarter,is_weekend,days_to_eom,days_from_som,dim,is_last1,is_first1,is_last2,is_first2,is_last3,is_first3,is_eom_payday,payday_intensity,t_days,t_years,regime_pre2019,regime_2019,regime_post2019,sin_y1,cos_y1,sin_y2,cos_y2,sin_y3,cos_y3,sin_y4,cos_y4,sin_y5,cos_y5,sin_w1,cos_w1,sin_m1,cos_m1,sin_w2,cos_w2,sin_m2,cos_m2,hol_new_year,hol_womens_day,hol_reunification,hol_labor_day,hol_national_day,hol_vn_womens_day,hol_dd_1111,hol_dd_1212,hol_christmas_eve,hol_christmas,hol_hung_kings,tet_days_diff,tet_in_7,tet_in_14,tet_in_30,tet_before_7,tet_after_7,tet_on,tet_intensity,tet_post_recovery,hol_black_friday,promo_spring_sale,promo_spring_sale_since,promo_spring_sale_until,promo_spring_sale_disc,promo_mid_year,promo_mid_year_since,promo_mid_year_until,promo_mid_year_disc,promo_fall_launch,promo_fall_launch_since,promo_fall_launch_until,promo_fall_launch_disc,promo_year_end,promo_year_end_since,promo_year_end_until,promo_year_end_disc,promo_urban_blowout,promo_urban_blowout_since,promo_urban_blowout_until,promo_urban_blowout_disc,promo_rural_special,promo_rural_special_since,promo_rural_special_until,promo_rural_special_disc,is_odd_year,is_q1,is_q2,is_q3,is_q4,q3_odd_year
2013,5,22,2,142,2,0,9,21,31,0,0,0,0,0,0,0,0.0,-2415,-6.611909650924025,1,0,0,0.6433365204044917,-0.765583517007675,-0.9850556718215013,0.172236243027682,0.8649482509584342,0.5018610596210326,-0.3393245761752893,-0.9406693531754186,-0.345385646087603,0.9384608438697104,0.9749279121818236,-0.22252093395631434,-0.8978045395707417,-0.44039415155763423,-0.433883739117558,-0.9009688679024191,0.7907757369376984,-0.612105982547663,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0.0,0,0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,1,0,1,0,0,0
2022,3,11,4,70,1,0,20,10,31,0,0,0,0,0,0,0,0.0,800,2.190280629705681,0,0,1,0.9335418911179212,0.35846832151248087,0.6692903895412567,-0.7430009249440493,-0.45370308603134424,-0.8911529104063088,-0.9945667569706337,0.1041007489354256,-0.2593382659754056,0.9657865518844574,-0.433883739117558,-0.9009688679024191,0.8978045395707416,-0.4403941515576344,0.7818314824680296,0.6234898018587337,-0.7907757369376986,-0.6121059825476627,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0.0,0,0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,1,0,0,0,0
2015,11,14,5,318,4,1,16,13,30,0,0,0,0,0,0,0,0.0,-1509,-4.131416837782341,1,0,0,-0.7262249146041543,0.6874571793269664,-0.9984970627014779,-0.054805253183622435,-0.6466230339778838,-0.762809708858793,0.10944576864891564,-0.993992768446958,0.7971015927871965,-0.6038452208771006,-0.9749279121818236,-0.2225209339563146,0.40673664307580004,-0.913545457642601,0.43388373911755845,-0.9009688679024189,-0.743144825477394,0.6691306063588585,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0.0,0,0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,1,0,0,0,1,0
2017,10,1,6,274,4,1,30,0,31,0,1,0,1,0,1,1,0.8,-822,-2.2505133470225873,1,0,0,-0.9999994220246925,0.001075151282798226,-0.0021503013227746654,-0.9999976880994382,0.9999947982262414,-0.003225448877107192,0.004300592702983659,0.9999907524084426,-0.9999855506507186,0.00537573155758024,-0.7818314824680299,0.6234898018587334,0.0,1.0,-0.9749279121818235,-0.2225209339563148,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0.0,0,0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,1,32.0,0.0,10.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,1,0,0,0,1,0
2021,8,4,2,216,3,0,27,3,31,0,0,0,0,0,0,1,0.25,581,1.5906913073237507,0,0,1,-0.5431052396834317,-0.8396646346181327,0.912052525275964,0.41007339725680436,-0.9885312610933433,0.15101637606963153,0.748016955033124,-0.6636796177245262,-0.26763550537876996,0.9635202313707016,0.9749279121818236,-0.22252093395631434,0.5712682150947923,0.8207634412072763,-0.433883739117558,-0.9009688679024191,0.9377521321470804,0.3473052528448203,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0.0,0,0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,1,5.0,28.0,0.0,0,999.0,999.0,0.0,1,0,0,1,0,1
2014,12,2,1,336,4,0,29,1,31,0,0,0,1,0,1,1,0.55,-1856,-5.08145106091718,1,0,0,-0.4822058478963526,0.8760579434344281,-0.8448805268402667,0.5349550405091192,-0.9981227456866079,0.06124528180216964,-0.9039461929224017,-0.42764620926777314,-0.5856957398073518,-0.8105309990194816,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,0.9749279121818236,-0.22252093395631434,0.39435585511331855,0.9189578116202306,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0.0,0,0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,1,14.0,31.0,20.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,0,0,0,1,0
2022,12,26,0,360,4,0,5,25,31,0,0,0,0,0,0,1,0.25,1090,2.9842573579739904,0,0,1,-0.09019000427034513,0.9959245770286599,-0.179644883710313,0.9837315262594303,-0.26763550537876996,0.9635202313707016,-0.35344467127408813,0.9354554315134163,-0.4363729641045933,0.8997658785476205,0.0,1.0,-0.9377521321470804,0.3473052528448203,0.0,1.0,-0.6513724827222221,-0.758758122692791,0,0,0,0,0,0,0,0,0,0,0,-27,0,0,1,0,0,0,0.1,0,0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,1,38.0,7.0,20.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,0,0,0,1,0
2021,3,7,6,66,1,1,24,6,31,0,0,0,0,0,0,0,0.0,431,1.1800136892539357,0,0,1,0.9066860720977985,0.4218060770826634,0.7648913904341226,-0.6441592666722685,-0.2614143985111562,-0.965226663665613,-0.9854237542919524,-0.17011767832049052,-0.5699010576127624,0.821713322596059,-0.7818314824680299,0.6234898018587334,0.9377521321470804,0.3473052528448203,-0.9749279121818235,-0.2225209339563148,0.6513724827222223,-0.7587581226927909,0,0,0,0,0,0,0,0,0,0,0,23,0,0,1,0,0,0,0.23333333333333334,0,0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,1,1,0,0,0,0
2020,10,17,5,291,4,1,14,16,31,0,0,0,0,0,0,0,0.0,290,0.7939767282683093,0,0,1,-0.957232443323312,0.28931997761869527,-0.5538929381563792,-0.8325879011014353,0.6367278583821974,-0.7710886034432233,0.9223291176290538,0.38640522612098704,-0.10303137904318317,0.9946781061893641,-0.9749279121818236,-0.2225209339563146,-0.10116832198743204,-0.9948693233918952,0.43388373911755845,-0.9009688679024189,0.2012985200886598,0.9795299412524946,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0.0,0,0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,0,0,0,1,0
2015,5,25,0,145,2,0,6,24,31,0,0,0,0,0,0,0,0.0,-1682,-4.605065023956194,1,0,0,0.6029878670694714,-0.7977503570459932,-0.9620675724981452,0.27281126433401914,0.9319916318560635,0.36247978998872715,-0.5249257416559593,-0.8511480281049478,-0.0944722361987147,0.9955274966507024,0.0,1.0,-0.9884683243281114,0.15142777750457667,0.0,1.0,-0.299363122973358,-0.9541392564000488,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0.0,0,0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,1,0,1,0,0,0
2019,4,15,0,105,2,0,15,14,30,0,0,0,0,0,0,0,0.0,-261,-0.7145790554414785,0,1,0,0.9724075561219968,-0.23328854407545518,-0.45370308603134424,-0.8911529104063088,-0.7607200913564104,0.6490800741100398,0.8086376511543126,0.5883070194512693,0.3834282907116408,-0.9235706501843535,0.0,1.0,0.20791169081775931,-0.9781476007338057,0.0,1.0,-0.40673664307580015,0.913545457642601,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0.0,0,0,1,28.0,2.0,12.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,1,0,1,0,0,0
2019,12,25,2,359,4,0,6,24,31,0,0,0,0,0,0,0,0.0,-7,-0.019164955509924708,0,1,0,-0.10730813165636247,0.9942258118156161,-0.21337702862092797,0.9769699297608415,-0.3169817673505313,0.9484316312562195,-0.41692588132873015,0.9089404873138074,-0.5120551783114647,0.8589525565270844,0.9749279121818236,-0.22252093395631434,-0.9884683243281114,0.15142777750457667,-0.433883739117558,-0.9009688679024191,-0.299363122973358,-0.9541392564000488,0,0,0,0,0,0,0,0,0,1,0,-31,0,0,0,0,0,0,0.0,0,0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,1,37.0,8.0,20.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,1,0,0,0,1,0
2014,7,26,5,207,3,1,5,25,31,0,0,0,0,0,0,1,0.25,-1985,-5.434633812457221,1,0,0,-0.4071294853542516,-0.9133704517637858,0.7437200839287408,0.6684911643103645,-0.9514544127333381,-0.307789701728727,0.9943406096530519,-0.10623912647794644,-0.8649482509584351,0.5018610596210309,-0.9749279121818236,-0.2225209339563146,-0.9377521321470804,0.3473052528448203,0.43388373911755845,-0.9009688679024189,-0.6513724827222221,-0.758758122692791,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0.0,0,0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,0,0,1,0,0
2019,3,27,2,86,1,0,4,26,31,0,0,0,0,0,0,1,0.55,-280,-0.7665982203969883,0,1,0,0.9958270335100595,0.09126072172931188,0.18175978759137534,-0.9833429613388902,-0.9626519747161487,-0.2707418984477642,-0.3574644155648614,0.9339267592294762,0.8974070536021568,0.44120355862696276,0.9749279121818236,-0.22252093395631434,-0.848644257494751,0.5289640103269624,-0.433883739117558,-0.9009688679024191,-0.8978045395707416,-0.4403941515576344,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0.0,0,0,1,9.0,21.0,12.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,1,1,0,0,0,0
2019,12,16,0,350,4,0,15,15,31,0,0,0,0,0,0,0,0.0,-16,-0.04380561259411362,0,1,0,-0.2593382659754056,0.9657865518844574,-0.5009308193361626,0.8654873276017396,-0.7082462315032508,0.7059654917638989,-0.8670985522812102,0.4981366284784018,-0.9666180104000979,0.2562218218071136,0.0,1.0,0.10116832198743272,-0.994869323391895,0.0,1.0,-0.20129852008866114,0.9795299412524943,0,0,0,0,0,0,0,0,0,0,0,-40,0,0,0,0,0,0,0.0,0,0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,1,28.0,17.0,20.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,1,0,0,0,1,0
2020,10,13,1,287,4,0,18,12,31,0,0,0,0,0,0,0,0.0,286,0.783025325119781,0,0,1,-0.9748595108374125,0.22282040779479959,-0.4344371874948622,-0.9007021317403184,0.7812565682797505,-0.6242100403868457,0.7825970017677816,0.6225286602431078,-0.4324994021339781,0.9016342202654863,0.7818314824680298,0.6234898018587336,0.6513724827222223,-0.7587581226927909,0.9749279121818236,-0.22252093395631434,-0.9884683243281114,0.15142777750457667,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0.0,0,0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,0,0,0,1,0
2014,12,24,2,358,4,0,7,23,31,0,0,0,0,0,0,0,0.0,-1834,-5.021218343600274,1,0,0,-0.12439450483979998,0.9922328391893008,-0.2468566254334839,0.9690520143313219,-0.3654839958133111,0.9308176238148564,-0.4784338202547005,0.8781236129591853,-0.5839514998576991,0.8117885474764618,0.9749279121818236,-0.22252093395631434,-0.9987165071710528,-0.05064916883871355,-0.433883739117558,-0.9009688679024191,0.10116832198743385,-0.9948693233918949,0,0,0,0,0,0,0,0,1,0,0,999,0,0,0,0,0,0,0.0,0,0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,1,36.0,9.0,20.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,0,0,0,1,0
2016,10,31,0,305,4,0,0,30,31,1,0,1,0,1,0,1,1.0,-1157,-3.167693360711841,1,0,0,-0.8605996962501181,0.5092820071573356,-0.876575881330507,-0.4812636743715911,-0.03224895228930312,-0.9994798672690922,0.8437282590292712,-0.5367705514607103,0.8916401947968868,0.4527446996073721,0.0,1.0,-0.20129852008866114,0.9795299412524943,0.0,1.0,-0.3943558551133206,0.9189578116202297,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0.0,0,0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,0,0,0,1,0
2018,10,6,5,279,4,1,25,5,31,0,0,0,0,0,0,0,0.0,-452,-1.2375085557837098,1,0,0,-0.9962102997023297,0.0869772313136861,-0.17329522734857217,-0.9848699224660111,0.9660648215530208,-0.25829974943412193,0.34134651424503604,0.9399375283564134,-0.9066860720977997,0.42180607708266066,-0.9749279121818236,-0.2225209339563146,0.8486442574947509,0.5289640103269624,0.43388373911755845,-0.9009688679024189,0.8978045395707416,-0.4403941515576344,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0.0,0,0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,0,0,0,1,0
2022,10,21,4,294,4,0,10,20,31,0,0,0,0,0,0,0,0.0,1024,2.8035592060232717,0,0,1,-0.9410336347451197,0.3383130181923076,-0.6367278583821979,-0.7710886034432227,0.5102069876723101,-0.8600516436414427,0.9819471901866463,0.1891552687200393,0.15420404756268824,0.9880390233767511,-0.433883739117558,-0.9009688679024191,-0.7907757369376986,-0.6121059825476627,0.7818314824680296,0.6234898018587337,0.9680771188662042,-0.25065253225872086,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0.0,0,0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,0,0,0,1,0
2013,2,9,5,40,1,1,19,8,28,0,0,0,0,0,0,0,0.0,-2517,-6.891170431211499,1,0,0,0.6350683134867438,0.7724559775191742,0.981124629771712,0.19337647441020586,0.8806828564301475,-0.47370635037968,0.37945284372454435,-0.925211078289358,-0.2944616217868012,-0.9556633054034704,-0.9749279121818236,-0.2225209339563146,0.9749279121818236,-0.22252093395631434,0.43388373911755845,-0.9009688679024189,-0.433883739117558,-0.9009688679024191,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,0,0,0.9666666666666667,0,0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,1,10.0,20.0,15.0,1,1,0,0,0,0
2012,7,18,2,200,3,0,13,17,31,0,0,0,0,0,0,0,0.0,-2723,-7.455167693360712,1,0,0,-0.2944616217868012,-0.9556633054034704,0.5628123335824821,0.8265847065893737,-0.7812565682797488,-0.6242100403868479,0.9304241352383132,0.366484554334882,-0.9970878407382744,-0.07626164076313574,0.9749279121818236,-0.22252093395631434,-0.2993631229733582,-0.9541392564000488,-0.433883739117558,-0.9009688679024191,0.5712682150947928,0.8207634412072761,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0.0,0,0,0,999.0,999.0,0.0,1,25.0,4.0,18.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,0,0,1,0,0
2021,8,14,5,226,3,1,17,13,31,0,0,0,0,0,0,0,0.0,591,1.6180698151950719,0,0,1,-0.6788204829862355,-0.734304263829602,0.9969215500633253,0.07840550375666766,-0.7852670068439961,0.6191572723971441,0.156328272677186,-0.9877051539613263,0.5556819724760473,0.8313949395234068,-0.9749279121818236,-0.2225209339563146,0.48530196253108104,-0.8743466161445821,0.43388373911755845,-0.9009688679024189,-0.848644257494751,0.5289640103269624,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0.0,0,0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,1,15.0,18.0,0.0,0,999.0,999.0,0.0,1,0,0,1,0,1
2015,5,12,1,132,2,0,19,11,31,0,0,0,0,0,0,0,0.0,-1695,-4.640657084188912,1,0,0,0.7648913904341226,-0.6441592666722685,-0.9854237542919524,-0.17011767832049052,0.5046482954181526,0.8633250245021008,0.3352760024840169,-0.9421199510456922,-0.936590583203982,0.3504255690637097,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,0.9749279121818236,-0.22252093395631434,-0.9680771188662041,-0.2506525322587213,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0.0,0,0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,0,999.0,999.0,0.0,1,0,1,0,0,0
